month,SDP,VAS,KOK,KESK,RKP,KD,VIHR,PERUSS,MUU,unemployment,unemployment_m,unemployment_f
3,18.0,8.5,19.8,18.3,4.1,3.1,9.0,18.4,0.8,9.0,9.7,8.2
4,16.2,9.0,19.2,19.4,4.2,3.2,9.1,18.6,1.1,8.8,10.2,7.3
5,16.5,8.0,19.2,21.7,4.1,3.8,8.0,17.4,1.3,10.8,12.0,9.5
6,16.1,7.5,18.4,21.5,4.0,3.5,9.3,18.6,1.1,7.8,7.9,7.6
7,15.6,7.2,18.8,22.8,4.4,3.6,8.4,18.0,1.2,6.6,6.8,6.4
8,15.0,7.7,18.3,23.8,3.8,2.8,8.4,19.3,0.9,7.1,7.1,7.1
9,15.3,7.2,18.4,22.6,3.9,3.3,9.3,18.8,1.2,7.6,8.3,6.8
10,16.9,7.6,18.1,23.2,3.9,3.5,8.4,17.4,1.0,7.4,7.6,7.2
11,15.4,7.4,18.3,24.1,4.1,3.2,9.0,17.2,1.3,7.9,8.4,7.5
12,15.9,7.0,19.1,23.9,3.8,3.1,8.2,17.4,1.6,7.9,8.4,7.3
1,15.5,7.5,18.7,23.6,3.8,3.7,8.1,17.8,1.3,8.5,9.5,7.4
2,15.5,7.7,19.4,22.8,4.2,3.4,9.0,16.9,1.1,9.1,10.1,8.1
3,15.5,7.7,20.3,20.9,4.3,3.5,8.7,17.8,1.3,9.5,9.9,9.2
4,15.8,8.8,20.2,21.0,4.1,3.7,8.2,17.6,0.6,9.0,10.3,7.6
5,15.0,8.5,20.1,19.5,4.4,3.2,9.3,18.9,1.1,10.7,11.8,9.6
6,14.8,9.3,20.3,19.5,4.2,3.8,9.0,17.9,1.2,9.2,8.9,9.5
7,13.8,9.3,21.8,20.9,3.9,3.4,8.8,16.4,1.7,7.0,7.5,6.6
8,15.8,8.2,21.2,21.3,3.7,3.4,8.1,17.1,1.2,7.4,7.7,7.0
9,15.2,8.3,20.4,23.3,4.6,3.0,7.8,16.6,0.8,8.2,8.6,7.7
10,15.2,7.9,19.4,25.5,3.6,2.7,9.1,15.1,1.5,8.3,9.7,6.9
11,16.1,8.9,17.3,26.7,4.0,3.3,8.3,14.3,1.1,8.2,8.7,7.6
12,15.3,8.9,17.1,26.8,3.7,3.9,9.4,13.3,1.7,8.8,9.4,8.2
1,17.2,8.2,16.3,26.0,4.2,3.5,8.3,14.8,1.5,8.8,9.9,7.6
2,16.8,8.8,16.2,24.9,4.0,3.3,8.8,15.4,1.8,10.1,10.5,9.7
3,16.2,8.5,16.1,24.9,4.5,3.9,8.9,14.6,2.4,10.3,11.3,9.2
4,15.1,8.3,16.9,24.0,4.6,3.5,8.8,16.7,2.0,10.3,11.1,9.5
5,15.0,7.5,16.7,23.1,4.5,3.1,10.5,17.5,2.1,11.8,11.9,11.6
6,14.6,8.4,17.3,22.7,4.5,3.4,11.5,15.6,2.0,10.0,10.5,9.4
7,14.5,7.8,18.2,23.1,3.9,2.7,12.7,15.6,1.5,8.4,8.7,8.2
8,14.4,7.6,18.9,23.0,4.2,2.9,12.4,15.0,1.6,8.3,8.6,7.9
9,18.3,8.3,18.0,21.7,4.8,4.0,12.7,10.7,1.5,8.4,8.3,8.6
10,20.7,7.4,18.3,21.7,4.4,3.4,12.2,9.8,2.1,8.7,9.1,8.4
11,21.0,8.1,18.3,21.6,4.6,3.5,12.6,8.9,1.4,8.2,9.2,7.2
12,22.7,7.3,18.7,21.4,3.9,3.4,11.7,8.9,2.0,9.2,9.5,8.8
1,21.5,8.6,17.3,20.9,4.1,3.4,12.3,9.8,2.1,9.3,10.0,8.5
2,22.9,8.9,16.9,20.7,4.5,3.9,10.7,9.0,2.5,9.4,10.4,8.4
3,20.3,8.3,17.1,21.7,4.7,3.6,12.5,9.5,2.3,10.1,10.3,9.9
4,21.5,8.5,17.0,20.4,4.5,3.6,13.5,8.5,2.5,9.8,10.5,9.1
5,20.1,8.3,17.7,20.2,4.2,3.5,14.8,9.0,2.2,10.8,11.3,10.3
6,18.2,9.2,18.6,21.1,4.3,3.6,14.1,8.6,2.3,9.3,8.5,10.2
7,18.9,9.8,17.6,21.8,4.3,4.3,13.7,7.6,2.0,7.8,7.6,8.1
8,20.0,9.3,17.7,20.7,4.7,3.6,13.6,8.4,2.0,7.2,7.2,7.3
9,20.5,8.8,17.1,20.5,4.3,3.8,14.0,9.2,1.8,7.7,7.6,7.8
10,21.2,8.7,18.8,19.6,4.0,3.4,13.6,8.5,2.2,8.1,8.0,8.2
11,21.1,8.6,18.9,20.4,4.0,3.6,12.6,8.5,2.3,8.1,8.8,7.4
12,21.2,7.6,17.4,20.3,4.9,3.6,13.3,9.4,2.3,7.9,8.2,7.5
