,price,price_open,price_high,price_low,change
117,1617.80,1617.80,1617.80,1617.80,1617.80
118,1560.00,1560.00,1560.00,1560.00,1560.00
119,1533.10,1533.10,1533.10,1533.10,1533.10
120,1435.20,1435.20,1435.20,1435.20,1435.20
121,1423.60,1423.60,1423.60,1423.60,1423.60
122,1415.60,1415.60,1415.60,1415.60,1415.60
123,1440.30,1440.30,1440.30,1440.30,1440.30
124,1399.30,1399.30,1399.30,1399.30,1399.30
125,1370.30,1370.30,1370.30,1370.30,1370.30
126,1345.00,1345.00,1345.00,1345.00,1345.00
127,1355.20,1355.20,1355.20,1355.20,1355.20
128,1347.50,1347.50,1347.50,1347.50,1347.50
129,1325.60,1325.60,1325.60,1325.60,1325.60
130,1308.40,1308.40,1308.40,1308.40,1308.40
131,1260.50,1260.50,1260.50,1260.50,1260.50
132,1265.40,1265.40,1265.40,1265.40,1265.40
133,1240.00,1240.00,1240.00,1240.00,1240.00
134,1212.00,1212.00,1212.00,1212.00,1212.00
135,1193.30,1193.30,1193.30,1193.30,1193.30
136,1206.80,1206.80,1206.80,1206.80,1206.80
137,1187.00,1187.00,1187.00,1187.00,1187.00
138,1227.40,1227.40,1227.40,1227.40,1227.40
139,1235.60,1235.60,1235.60,1235.60,1235.60
140,1220.30,1220.30,1220.30,1220.30,1220.30
141,1215.90,1215.90,1215.90,1215.90,1215.90
142,1188.10,1188.10,1188.10,1188.10,1188.10
143,1196.60,1196.60,1196.60,1196.60,1196.60
144,1191.50,1191.50,1191.50,1191.50,1191.50
145,1140.60,1140.60,1140.60,1140.60,1140.60
146,1145.00,1145.00,1145.00,1145.00,1145.00
147,1150.20,1150.20,1150.20,1150.20,1150.20
148,1107.60,1107.60,1107.60,1107.60,1107.60
149,1093.20,1093.20,1093.20,1093.20,1093.20
150,1081.70,1081.70,1081.70,1081.70,1081.70
151,1041.00,1041.00,1041.00,1041.00,1041.00
152,1041.80,1041.80,1041.80,1041.80,1041.80
153,1044.70,1044.70,1044.70,1044.70,1044.70
154,1042.70,1042.70,1042.70,1042.70,1042.70
155,969.00,969.00,969.00,969.00,969.00
156,972.17,972.17,972.17,972.17,972.17
157,943.10,943.10,943.10,943.10,943.10
158,1033.00,1033.00,1033.00,1033.00,1033.00
159,1039.10,1039.10,1039.10,1039.10,1039.10
160,1115.00,1115.00,1115.00,1115.00,1115.00
161,1039.00,1039.00,1039.00,1039.00,1039.00
162,1016.10,1016.10,1016.10,1016.10,1016.10
163,971.00,971.00,971.00,971.00,971.00
164,1068.40,1068.40,1068.40,1068.40,1068.40
165,1169.00,1169.00,1169.00,1169.00,1169.00
166,1256.10,1256.10,1256.10,1256.10,1256.10
167,1245.00,1245.00,1245.00,1245.00,1245.00
168,1238.50,1238.50,1238.50,1238.50,1238.50
169,1225.20,1225.20,1225.20,1225.20,1225.20
170,1172.80,1172.80,1172.80,1172.80,1172.80
171,1113.60,1113.60,1113.60,1113.60,1113.60
172,1190.40,1190.40,1190.40,1190.40,1190.40
173,1149.30,1149.30,1149.30,1149.30,1149.30
174,1232.40,1232.40,1232.40,1232.40,1232.40
175,1279.30,1279.30,1279.30,1279.30,1279.30
176,1278.40,1278.40,1278.40,1278.40,1278.40
177,1267.80,1267.80,1267.80,1267.80,1267.80
178,1288.20,1288.20,1288.20,1288.20,1288.20
179,1262.30,1262.30,1262.30,1262.30,1262.30
180,1232.80,1232.80,1232.80,1232.80,1232.80
181,1189.10,1189.10,1189.10,1189.10,1189.10
182,1195.50,1195.50,1195.50,1195.50,1195.50
183,1178.30,1178.30,1178.30,1178.30,1178.30
184,1153.00,1153.00,1153.00,1153.00,1153.00
185,1185.10,1185.10,1185.10,1185.10,1185.10
186,1190.90,1190.90,1190.90,1190.90,1190.90
187,1125.30,1125.30,1125.30,1125.30,1125.30
188,1129.60,1129.60,1129.60,1129.60,1129.60
189,1091.20,1091.20,1091.20,1091.20,1091.20
